Price,Adj Close,Close,High,Low,Open,Volume,return,volatility
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,,
2021-06-02,120.63056182861328,121.06400299072266,122.0999984741211,120.20999908447266,121.7655029296875,17158000,-0.35105494516673996,14.718932821184909
2021-06-03,119.800048828125,120.23049926757812,120.48725128173828,119.1415023803711,119.7509994506836,18346000,-0.6884818794637093,12.939985889140807
2021-06-04,122.14910125732422,122.58799743652344,122.69294738769531,120.88849639892578,121.1259994506836,25948000,1.960815419803419,16.48246852403577
2021-06-07,122.863037109375,123.30449676513672,123.4000015258789,122.05364990234375,122.56600189208984,23850000,0.5844775537542146,16.521225943870895
2021-06-08,123.69804382324219,124.14250183105469,124.72474670410156,123.41200256347656,123.99500274658203,25060000,0.6796224694985309,16.440597054553702
2021-06-09,124.12400817871094,124.56999969482422,125.25,124.36650085449219,124.9749984741211,20126000,0.3443605996851229,15.020284401203366
2021-06-10,125.62860870361328,126.08000183105469,126.16300201416016,124.69999694824219,124.70050048828125,31234000,1.2121715821864942,10.23811524834088
2021-06-11,125.2464828491211,125.69650268554688,126.34950256347656,124.91449737548828,126.24600219726562,25240000,-0.3041712721591594,8.75781620852595
2021-06-14,125.8996353149414,126.35199737548828,126.4114990234375,125.0469970703125,125.66950225830078,22550000,0.5214899984777199,8.732409815058965
2021-06-15,125.58177185058594,126.03299713134766,126.86199951171875,125.64849853515625,126.52200317382812,22182000,-0.2524694906030134,9.892113659358014
2021-06-16,125.2464828491211,125.69650268554688,126.52349853515625,124.14994812011719,126.24749755859375,26316000,-0.2669891643139244,10.658477427355276
2021-06-17,125.91856384277344,126.37100219726562,127.19650268554688,125.51499938964844,125.52300262451172,25756000,0.5366096091043548,6.994025624038666
2021-06-18,125.11793518066406,125.56749725341797,126.38899993896484,124.60299682617188,125.70549774169922,53306000,-0.6358301587205739,8.314502103831808
2021-06-21,126.00225830078125,126.45500183105469,127.03675079345703,125.13424682617188,125.73999786376953,26256000,0.7067948291153536,9.137361690138945
2021-06-22,126.54480743408203,126.99949645996094,127.2699966430664,126.02649688720703,126.44999694824219,20984000,0.430583702520293,9.152084243324158
2021-06-23,126.00874328613281,126.46150207519531,127.7959976196289,126.25199890136719,126.55000305175781,19694000,-0.42361930540034676,9.659715900902237
